date,players,viewers
7-Mar-2009,0,0
8-Mar-2009,0,0
9-Mar-2009,0,0
10-Mar-2009,0,0
11-Mar-2009,10244,0
12-Mar-2009,0,0
13-Mar-2009,0,0
14-Mar-2009,0,0
15-Mar-2009,0,0
16-Mar-2009,12315,0
17-Mar-2009,0,0
18-Mar-2009,15770,0
19-Mar-2009,0,0
20-Mar-2009,0,0
21-Mar-2009,8964,0
22-Mar-2009,0,0
23-Mar-2009,0,0
24-Mar-2009,0,0
25-Mar-2009,0,0
26-Mar-2009,0,0
27-Mar-2009,7073,0
28-Mar-2009,0,0
29-Mar-2009,14201,0
30-Mar-2009,13886,0
31-Mar-2009,0,0
1-Apr-2009,11241,0
2-Apr-2009,0,0
3-Apr-2009,0,0
4-Apr-2009,0,0
5-Apr-2009,0,0
6-Apr-2009,0,0
7-Apr-2009,11163,0
8-Apr-2009,0,0
9-Apr-2009,0,0
10-Apr-2009,0,0
11-Apr-2009,0,0
12-Apr-2009,8666,0
13-Apr-2009,0,0
14-Apr-2009,0,0
15-Apr-2009,0,0
16-Apr-2009,6187,0
17-Apr-2009,11550,0
18-Apr-2009,0,0
19-Apr-2009,0,0
20-Apr-2009,0,0
21-Apr-2009,0,0
22-Apr-2009,9942,0
23-Apr-2009,0,0
24-Apr-2009,0,0
25-Apr-2009,0,0
26-Apr-2009,0,0
27-Apr-2009,6649,0
28-Apr-2009,8436,0
29-Apr-2009,0,0
30-Apr-2009,9269,0
1-May-2009,0,0
2-May-2009,8791,0
3-May-2009,10805,0
4-May-2009,0,0
5-May-2009,0,0
6-May-2009,0,0
7-May-2009,0,0
8-May-2009,0,0
9-May-2009,0,0
10-May-2009,0,0
11-May-2009,7685,0
12-May-2009,0,0
13-May-2009,0,0
14-May-2009,0,0
15-May-2009,0,0
16-May-2009,0,0
17-May-2009,0,0
18-May-2009,0,0
19-May-2009,0,0
20-May-2009,0,0
21-May-2009,0,0
22-May-2009,0,0
23-May-2009,44697,0
24-May-2009,0,0
25-May-2009,0,0
26-May-2009,0,0
27-May-2009,0,0
28-May-2009,0,0
29-May-2009,29555,0
30-May-2009,0,0
31-May-2009,0,0
1-Jun-2009,39286,0
2-Jun-2009,0,0
3-Jun-2009,0,0
4-Jun-2009,0,0
5-Jun-2009,27482,0
6-Jun-2009,0,0
7-Jun-2009,0,0
8-Jun-2009,0,0
9-Jun-2009,0,0
10-Jun-2009,0,0
11-Jun-2009,0,0
12-Jun-2009,26350,0
13-Jun-2009,0,0
14-Jun-2009,0,0
15-Jun-2009,20528,0
16-Jun-2009,0,0
17-Jun-2009,0,0
18-Jun-2009,0,0
19-Jun-2009,0,0
20-Jun-2009,0,0
21-Jun-2009,23254,0
22-Jun-2009,0,0
23-Jun-2009,0,0
24-Jun-2009,0,0
25-Jun-2009,0,0
26-Jun-2009,0,0
27-Jun-2009,18842,0
28-Jun-2009,0,0
29-Jun-2009,0,0
30-Jun-2009,0,0
1-Jul-2009,0,0
2-Jul-2009,0,0
3-Jul-2009,12509,0
4-Jul-2009,0,0
5-Jul-2009,0,0
6-Jul-2009,0,0
7-Jul-2009,12080,0
8-Jul-2009,0,0
9-Jul-2009,0,0
10-Jul-2009,0,0
11-Jul-2009,18539,0
12-Jul-2009,0,0
13-Jul-2009,11657,0
14-Jul-2009,0,0
15-Jul-2009,0,0
16-Jul-2009,0,0
17-Jul-2009,0,0
18-Jul-2009,0,0
19-Jul-2009,17181,0
20-Jul-2009,0,0
21-Jul-2009,0,0
22-Jul-2009,0,0
23-Jul-2009,0,0
24-Jul-2009,17491,0
25-Jul-2009,0,0
26-Jul-2009,0,0
27-Jul-2009,0,0
28-Jul-2009,0,0
29-Jul-2009,16287,0
30-Jul-2009,0,0
31-Jul-2009,0,0
1-Aug-2009,0,0
2-Aug-2009,0,0
3-Aug-2009,11875,0
4-Aug-2009,16522,0
5-Aug-2009,0,0
6-Aug-2009,0,0
7-Aug-2009,0,0
8-Aug-2009,0,0
9-Aug-2009,13641,0
10-Aug-2009,0,0
11-Aug-2009,0,0
12-Aug-2009,12592,0
13-Aug-2009,0,0
14-Aug-2009,0,0
15-Aug-2009,24224,0
16-Aug-2009,0,0
17-Aug-2009,23259,0
18-Aug-2009,0,0
19-Aug-2009,0,0
20-Aug-2009,20233,0
21-Aug-2009,0,0
22-Aug-2009,0,0
23-Aug-2009,0,0
24-Aug-2009,0,0
25-Aug-2009,32075,0
26-Aug-2009,0,0
27-Aug-2009,0,0
28-Aug-2009,0,0
29-Aug-2009,0,0
30-Aug-2009,28175,0
31-Aug-2009,0,0
1-Sep-2009,0,0
2-Sep-2009,0,0
3-Sep-2009,0,0
4-Sep-2009,0,0
5-Sep-2009,24666,0
6-Sep-2009,0,0
7-Sep-2009,0,0
8-Sep-2009,18141,0
9-Sep-2009,0,0
10-Sep-2009,17736,0
11-Sep-2009,13552,0
12-Sep-2009,0,0
13-Sep-2009,0,0
14-Sep-2009,0,0
15-Sep-2009,0,0
16-Sep-2009,16303,0
17-Sep-2009,0,0
18-Sep-2009,0,0
19-Sep-2009,0,0
20-Sep-2009,0,0
21-Sep-2009,0,0
22-Sep-2009,0,0
23-Sep-2009,0,0
24-Sep-2009,0,0
25-Sep-2009,8116,0
26-Sep-2009,0,0
27-Sep-2009,0,0
28-Sep-2009,0,0
29-Sep-2009,0,0
30-Sep-2009,12666,0
1-Oct-2009,0,0
2-Oct-2009,0,0
3-Oct-2009,0,0
4-Oct-2009,0,0
5-Oct-2009,16011,0
6-Oct-2009,0,0
7-Oct-2009,0,0
8-Oct-2009,0,0
9-Oct-2009,0,0
10-Oct-2009,0,0
11-Oct-2009,0,0
12-Oct-2009,16858,0
13-Oct-2009,7759,0
14-Oct-2009,0,0
15-Oct-2009,0,0
16-Oct-2009,0,0
17-Oct-2009,0,0
18-Oct-2009,15715,0
19-Oct-2009,0,0
